DateReceived,Product,SubProduct,Issue,SubIssue,ConsumerComplaint,CompanyPublicResponse,Company,State,ZipCode,SubmittedVia,DateSentCompany,CompanyResponseConsumer,TimelyResponseSts,ConsumerDisputedSts,ComplaintId
2012-12-21,Credit card,,Identity theft / Fraud / Embezzlement,,,,Wells Fargo,NC,28513,Referral,2012-12-28,Closed with non-monetary relief,Yes,No,217070
2012-12-21,Credit card,,Other,,,,Capital One,VA,23059,Web,2012-12-27,Closed with explanation,Yes,Yes,216298
2012-12-21,Credit card,,Other,,,,Citibank,NY,13417,Referral,2012-12-26,Closed with explanation,Yes,No,215338
2012-12-21,Credit card,,Other,,,,Citibank,PA,19010,Referral,2013-01-11,Closed with explanation,Yes,No,216728
2012-12-21,Credit card,,Other fee,,,,Bank of America,MI,48446,Referral,2012-12-26,Closed with explanation,Yes,No,215349
2012-12-21,Credit card,,Other fee,,,,Capital One,TN,37658,Web,2013-02-13,Closed with monetary relief,Yes,No,216745
2012-12-21,Credit card,,Other fee,,,,Fifth Third Bank,OH,44708,Phone,2012-12-26,Closed with monetary relief,Yes,No,216586
2012-12-21,Credit card,,Payoff process,,,,Capital One,MA,2451,Web,2012-12-26,Closed with explanation,Yes,No,216551
2012-12-21,Credit card,,Payoff process,,,,Citibank,AR,72758,Web,2012-12-21,Closed with non-monetary relief,Yes,No,216384
2012-12-21,Credit card,,Payoff process,,,,GE Capital Retail,NY,10027,Web,2012-12-27,Closed with monetary relief,Yes,No,221036
2012-12-21,Credit card,,Payoff process,,,,JPMorgan Chase,MD,20852,Referral,2012-12-29,Closed with explanation,Yes,Yes,216431
2012-12-21,Credit card,,Privacy,,,,Capital One,CA,94601,Web,2012-12-21,Closed with explanation,Yes,No,215961
2012-12-21,Credit card,,Unsolicited issuance of credit card,,,,Wells Fargo,NJ,7031,Referral,2012-12-27,Closed with explanation,Yes,No,216712
2012-12-21,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,ACS Education Services,MA,2466,Web,2012-12-21,Closed,Yes,Yes,215316
2012-12-21,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,AES/PHEAA,PA,15010,Web,2012-12-26,Closed with non-monetary relief,Yes,No,216505
2012-12-21,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,AES/PHEAA,VA,20120,Web,2012-12-26,Closed with non-monetary relief,Yes,No,216340
2012-12-21,Student loan,Non-federal student loan,Repaying your loan,,,,AES/PHEAA,ID,83705,Web,2012-12-26,Closed with non-monetary relief,Yes,No,216497
2012-12-21,Student loan,Non-federal student loan,Repaying your loan,,,,Discover,MN,55422,Web,2012-12-26,Closed with explanation,Yes,No,216530
2012-12-21,Student loan,Non-federal student loan,Repaying your loan,,,,Loan To Learn,DC,20024,Web,2012-12-26,Closed with explanation,Yes,No,216624
2012-12-21,Student loan,Non-federal student loan,Repaying your loan,,,,Navient,NY,10707,Web,2012-12-21,Closed with monetary relief,Yes,No,216488
2012-12-21,Student loan,Non-federal student loan,Repaying your loan,,,,Sallie Mae,NY,14607,Web,2012-12-26,Closed with explanation,Yes,No,216077
2012-12-22,Credit card,,Billing disputes,,,,GE Capital Retail,CA,95829,Web,2012-12-27,Closed with explanation,Yes,No,216753
2012-12-22,Credit card,,Closing/Cancelling account,,,,Capital One,TX,77388,Web,2012-12-22,Closed with non-monetary relief,Yes,No,216804
2012-12-22,Credit card,,Closing/Cancelling account,,,,JPMorgan Chase,AK,99576,Web,2012-12-27,Closed with monetary relief,Yes,No,216785
2012-12-22,Credit card,,Collection practices,,,,JPMorgan Chase,CA,95829,Web,2012-12-27,Closed with explanation,Yes,No,216752
2012-12-22,Credit card,,Credit reporting,,,,Capital One,CA,92373,Web,2012-12-27,Closed with non-monetary relief,Yes,No,216783
2012-12-22,Credit card,,Credit reporting,,,,Capital One,MA,2126,Web,2012-12-27,Closed with explanation,Yes,Yes,215771
2012-12-22,Credit card,,Credit reporting,,,,Capital One,PA,17701,Web,2012-12-27,Closed with non-monetary relief,Yes,No,216805
2012-12-22,Credit card,,Credit reporting,,,,GE Capital Retail,MA,2126,Web,2012-12-27,Closed with explanation,Yes,Yes,215772
2012-12-22,Credit card,,Late fee,,,,Wells Fargo,CA,91706,Web,2012-12-27,Closed with explanation,Yes,Yes,216189
2012-12-22,Credit card,,Other,,,,Capital One,NV,,Web,2012-12-27,Closed with monetary relief,Yes,No,221199
2012-12-22,Credit card,,Payoff process,,,,Barclays,WI,53051,Web,2012-12-27,Closed with explanation,Yes,No,216768
2012-12-22,Credit card,,Transaction issue,,,,Capital One,WI,54868,Web,2013-02-04,Closed,Yes,No,216771
2012-12-22,Student loan,Non-federal student loan,Problems when you are unable to pay,,,,JPMorgan Chase,TX,79423,Web,2012-12-27,Closed with explanation,Yes,No,215847
2012-12-22,Student loan,Non-federal student loan,Repaying your loan,,,,AES/PHEAA,MA,2126,Web,2012-12-27,Closed with explanation,Yes,No,215769
2012-12-22,Student loan,Non-federal student loan,Repaying your loan,,,,Navient,MA,2126,Web,2012-12-27,Closed with explanation,Yes,Yes,215770
2012-12-22,Student loan,Non-federal student loan,Repaying your loan,,,,Nelnet,NY,12477,Web,2012-12-27,Closed with explanation,Yes,Yes,216806
2012-12-22,Student loan,Non-federal student loan,Repaying your loan,,,,Nelnet,TN,37160,Web,2012-12-27,Closed with explanation,Yes,Yes,216800
2012-12-23,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,Citibank,NY,11218,Web,2012-12-27,Closed with explanation,Yes,No,216843
2012-12-23,Credit card,,Advertising and marketing,,,,Capital One,MI,48183,Web,2012-12-27,Closed with monetary relief,Yes,No,216816
2012-12-23,Credit card,,Credit reporting,,,,Wells Fargo,CA,92008,Web,2012-12-27,Closed with explanation,Yes,No,216850
2012-12-23,Credit card,,Delinquent account,,,,GE Capital Retail,GA,31903,Web,2012-12-27,Closed with monetary relief,Yes,No,216836
2012-12-23,Credit card,,Other,,,,GE Capital Retail,IL,60443,Web,2013-01-02,Closed with explanation,Yes,No,216821
2012-12-23,Student loan,Non-federal student loan,Repaying your loan,,,,JPMorgan Chase,MA,1702,Web,2012-12-27,Closed with explanation,Yes,No,216220
2012-12-23,Student loan,Non-federal student loan,Repaying your loan,,,,Navient,PA,18337,Web,2012-12-27,Closed with monetary relief,Yes,No,216819
2012-12-24,Bank account or service,(CD) Certificate of deposit,"Account opening, closing, or management",,,,U.S. Bancorp,CA,95608,Referral,2012-12-28,Closed with explanation,Yes,No,217205
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,NC,27127,Referral,2012-12-28,Closed with monetary relief,No,Yes,217189
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,TN,37013,Referral,2012-12-27,Closed with explanation,Yes,No,217177
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,TX,78753,Web,2012-12-27,Closed with explanation,Yes,No,216983
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,Bank of America,WI,53808,Referral,2012-12-28,Closed with monetary relief,No,Yes,217009
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMorgan Chase,NY,10704,Referral,2012-12-27,Closed with explanation,Yes,No,217027
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMorgan Chase,NY,11249,Web,2012-12-27,Closed with explanation,Yes,No,217095
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,M&T Bank,NY,11375,Web,2012-12-27,Closed with explanation,Yes,No,216413
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,Regions,FL,33180,Web,2012-12-27,Closed with monetary relief,Yes,Yes,215848
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,SunTrust Bank,GA,30326,Referral,2012-12-27,Closed with explanation,Yes,No,215812
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,TCF National Bank,IL,60473,Referral,2012-12-27,Closed with explanation,Yes,No,217171
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,U.S. Bancorp,NE,68106,Referral,2012-12-27,Closed with explanation,Yes,No,217172
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,U.S. Bancorp,OH,45140,Referral,2012-12-27,Closed with monetary relief,Yes,No,217137
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,U.S. Bancorp,WI,54482,Referral,2012-12-27,Closed with monetary relief,Yes,Yes,216859
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo,FL,33431,Web,2012-12-27,Closed with explanation,Yes,No,216961
2012-12-24,Bank account or service,Checking account,"Account opening, closing, or management",,,,Wells Fargo,NV,89703,Referral,2012-12-27,Closed with explanation,Yes,No,216929
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,CA,90065,Referral,2012-12-27,Closed with monetary relief,Yes,No,217160
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,CA,94587,Referral,2012-12-28,Closed with monetary relief,Yes,No,217020
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,NV,89706,Referral,2012-12-28,Closed with explanation,No,No,217185
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,RI,2920,Referral,2012-12-28,Closed with explanation,Yes,No,217183
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,SC,29902,Referral,2012-12-27,Closed with explanation,Yes,No,216996
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,Capital One,NY,11378,Referral,2012-12-27,Closed with explanation,Yes,No,217148
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,Citibank,DC,20010,Web,2012-12-27,Closed with monetary relief,Yes,No,216940
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,Regions,TX,77057,Referral,2012-12-27,Closed with monetary relief,Yes,No,216992
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,Synovus Bank,AL,36695,Referral,2013-02-27,Closed with explanation,Yes,No,217207
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,TD Bank,NJ,88017,Referral,2012-12-27,Closed with explanation,Yes,Yes,216994
2012-12-24,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo,CA,92345,Referral,2012-12-27,Closed with explanation,Yes,No,217376
2012-12-24,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,JPMorgan Chase,GA,30326,Referral,2012-12-27,Closed with explanation,Yes,No,215811
2012-12-24,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,New York Community Bank,NY,10024,Web,2012-12-27,Closed with explanation,Yes,Yes,215688
2012-12-24,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,Wells Fargo,TX,77539,Web,2012-12-27,Closed with explanation,Yes,No,216851
2012-12-24,Bank account or service,Checking account,Problems caused by my funds being low,,,,Bank of America,WA,98512,Referral,2012-12-27,Closed with monetary relief,Yes,No,216997
2012-12-24,Bank account or service,Checking account,Problems caused by my funds being low,,,,Santander Bank US,MA,2145,Phone,2012-12-27,Closed,Yes,No,216962
2012-12-24,Bank account or service,Checking account,Problems caused by my funds being low,,,,TD Bank,MA,1201,Referral,2012-12-28,Closed with monetary relief,Yes,Yes,216877
2012-12-24,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo,CA,95336,Referral,2012-12-27,Closed with explanation,Yes,No,217144
2012-12-24,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo,GA,30341,Referral,2012-12-28,Closed with explanation,Yes,No,217011
2012-12-24,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo,TX,76012,Referral,2012-12-27,Closed with monetary relief,Yes,No,217173
2012-12-24,Bank account or service,Checking account,Problems caused by my funds being low,,,,Wells Fargo,VA,23061,Referral,2012-12-27,Closed with explanation,Yes,No,217178
2012-12-24,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,Amex,VA,22079,Web,2012-12-27,Closed with explanation,Yes,No,216933
2012-12-24,Bank account or service,Other bank product/service,"Making/receiving payments, sending money",,,,GE Capital Retail,VA,23455,Web,2012-12-27,Closed with explanation,Yes,No,216967
2012-12-24,Bank account or service,Savings account,"Making/receiving payments, sending money",,,,Fifth Third Bank,OH,44046,Web,2012-12-27,Closed with explanation,Yes,Yes,216336
2012-12-24,Credit card,,APR or interest rate,,,,Bank of America,NY,12208,Referral,2012-12-28,Closed with non-monetary relief,No,Yes,216882
2012-12-24,Credit card,,Balance transfer,,,,Citibank,TX,77640,Web,2012-12-24,Closed with explanation,Yes,No,217082
2012-12-24,Credit card,,Billing disputes,,,,Bank of America,PA,15215,Referral,2012-12-27,Closed with explanation,Yes,No,216988
2012-12-24,Credit card,,Billing disputes,,,,Citibank,FL,33176,Referral,2012-12-27,Closed with monetary relief,Yes,No,217135
2012-12-24,Credit card,,Billing disputes,,,,Citibank,NY,10024,Web,2012-12-27,Closed with monetary relief,Yes,No,215690
2012-12-24,Credit card,,Billing disputes,,,,Citibank,NY,10451,Referral,2012-12-28,Closed with explanation,Yes,No,217204
2012-12-24,Credit card,,Billing disputes,,,,Citibank,NY,11219,Referral,2012-12-27,Closed with monetary relief,Yes,No,217170
2012-12-24,Credit card,,Billing disputes,,,,First Niagara Bank,CA,94133,Web,2012-12-24,Closed with explanation,Yes,Yes,217134
2012-12-24,Credit card,,Billing disputes,,,,GE Capital Retail,MS,39090,Web,2012-12-24,Closed with monetary relief,Yes,No,217110
2012-12-24,Credit card,,Billing disputes,,,,GE Capital Retail,NC,28168,Web,2012-12-27,Closed with monetary relief,Yes,No,216949
2012-12-24,Credit card,,Billing disputes,,,,Wells Fargo,MD,20616,Referral,2012-12-28,Closed with non-monetary relief,Yes,Yes,217485
2012-12-24,Credit card,,Closing/Cancelling account,,,,Amex,NV,89122,Web,2012-12-27,Closed with explanation,Yes,No,216852
2012-12-24,Credit card,,Closing/Cancelling account,,,,Amex,PA,18080,Referral,2012-12-27,Closed with explanation,Yes,No,221175
2012-12-24,Credit card,,Credit card protection / Debt protection,,,,Bank of America,IL,60430,Phone,2012-12-27,Closed with explanation,Yes,No,216985
2012-12-24,Credit card,,Credit card protection / Debt protection,,,,Bank of America,TN,38063,Referral,2012-12-27,Closed with explanation,Yes,Yes,221020
2012-12-24,Credit card,,Credit card protection / Debt protection,,,,Citibank,CA,95125,Web,2012-12-27,Closed with monetary relief,Yes,No,217114
2012-12-24,Credit card,,Credit determination,,,,JPMorgan Chase,OH,44230,Referral,2012-12-27,Closed with explanation,Yes,No,216870
2012-12-24,Credit card,,Credit line increase/decrease,,,,Amex,CA,93330,Web,2012-12-27,Closed with explanation,Yes,No,216958
2012-12-24,Credit card,,Credit line increase/decrease,,,,Bank of America,WV,25428,Referral,2012-12-27,Closed with explanation,Yes,No,217166
2012-12-24,Credit card,,Identity theft / Fraud / Embezzlement,,,,Barclays,VA,22301,Web,2012-12-27,Closed with explanation,Yes,No,217111
2012-12-24,Credit card,,Identity theft / Fraud / Embezzlement,,,,Capital One,FL,32822,Web,2012-12-28,Closed with explanation,Yes,Yes,216022
2012-12-24,Credit card,,Late fee,,,,Bank of America,MO,63038,Web,2012-12-27,Closed with explanation,Yes,No,217122
2012-12-24,Credit card,,Late fee,,,,Capital One,KY,41011,Referral,2012-12-27,Closed with monetary relief,Yes,No,216873
2012-12-24,Credit card,,Other,,,,Bank of America,FL,34747,Referral,2012-12-27,Closed with explanation,Yes,No,217334
2012-12-24,Credit card,,Other,,,,Bank of America,TX,75062,Referral,2012-12-28,Closed with explanation,No,Yes,216884
2012-12-24,Credit card,,Other,,,,Capital One,WA,99354,Referral,2012-12-27,Closed,Yes,No,216864
2012-12-24,Credit card,,Other,,,,Capital One,WY,82602,Referral,2012-12-27,Closed with explanation,Yes,No,216861
